Location,Type,Rooms,Price
Lekki,semi-detached duplex,4,2000000
VI,flat apartment,3,4500000
Lekki,terraced duplex,3,2500000
Ikeja,terraced duplex,4,3000000
Ajah,semi-detached duplex,4,2000000
Lekki,block of,3,4500000
Ikoyi,terraced duplex,4,12000000
Lekki,detached duplex,4,4200000
Lekki,detached duplex,5,5000000
VI,semi-detached duplex,5,10000000
Lekki,semi-detached duplex,4,2300000
Lekki,semi-detached duplex,4,1500000
Lekki,semi-detached duplex,4,3500000
Lekki,flat apartment,4,4000000
Lekki,terraced duplex,4,3000000
Lekki,terraced duplex,3,2500000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,4,4000000
Lekki,semi-detached duplex,5,6000000
Lekki,terraced duplex,3,4000000
Lekki,semi-detached duplex,5,6000000
Lekki,semi-detached duplex,6,5200000
Lekki,terraced duplex,3,3000000
VI,flat apartment,3,12000000
Lekki,semi-detached duplex,4,5000000
Lekki,terraced duplex,3,2500000
Lekki,terraced duplex,4,2500000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,5,3500000
VI,terraced duplex,4,4500000
Ajah,semi-detached duplex,4,2000000
VI,terraced duplex,4,5000000
VI,flat apartment,3,6000000
VI,terraced duplex,3,3500000
Lekki,terraced duplex,3,1500000
Lekki,semi-detached duplex,3,1300000
Ikoyi,semi-detached duplex,5,25000000
Lekki,detached duplex,5,4000000
Ikeja,terraced duplex,4,6000000
Lekki,flat apartment,4,3000000
Lekki,detached bungalow,2,2300000
Lekki,detached duplex,5,5000000
Ikoyi,flat apartment,4,7000000
Ikoyi,terraced duplex,5,12000000
Gbagada,flat apartment,5,2500000
Ikoyi,terraced duplex,3,9000000
Lekki,terraced duplex,4,3200000
Lekki,terraced duplex,4,3500000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,4,3000000
Ajah,semi-detached bungalow,3,1000000
Ajah,semi-detached bungalow,2,1000000
Ajah,semi-detached bungalow,2,750000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,3,1500000
Ikoyi,terraced duplex,3,10000000
Ajah,semi-detached bungalow,3,750000
Ajah,semi-detached bungalow,3,1000000
Ajah,detached bungalow,2,700000
Lekki,semi-detached duplex,4,3500000
Ajah,flat apartment,2,650000
Lekki,semi-detached duplex,4,4500000
Maryland,detached duplex,7,10000000
Ajah,flat apartment,1,200000
Lekki,semi-detached duplex,4,4000000
Ajah,detached duplex,4,4000000
Ajah,semi-detached duplex,4,3000000
Lekki,detached duplex,4,4500000
Ikoyi,detached duplex,4,10000000
Lekki,detached duplex,4,4000000
Lekki,terraced duplex,4,3000000
Ikoyi,terraced duplex,3,15000000
Lekki,semi-detached duplex,4,3500000
Lekki,flat apartment,5,4500000
Lekki,flat apartment,5,3000000
Lekki,semi-detached duplex,6,5000000
Lekki,flat apartment,5,4000000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,4,3000000
Lekki,semi-detached bungalow,4,3500000
Ikoyi,terraced duplex,3,16000000
Lekki,semi-detached bungalow,4,3500000
Ajah,detached duplex,4,2500000
VI,terraced duplex,4,4000000
