,Type,Rooms,Location,Price
219,detached duplex,5,Lekki,9000000
220,terraced duplex,4,Lekki,45000000
221,terraced duplex,4,Lekki,3000000
222,detached duplex,4,Ajah,1800000
223,for rent,Semi-detached,Ikoyi,20000000
224,detached duplex,4,Lekki,3800000
225,terraced duplex,4,Lekki,3000000
226,semi-detached duplex,4,Lekki,3500000
227,terraced duplex,4,Lekki,3500000
228,house for,4,Lekki,3000000
229,detached duplex,3,Ajah,1000000
230,terraced duplex,4,Lekki,2500000
231,house for,4,Lekki,4000000
232,semi-detached bungalow,2,Ajah,900000
233,semi-detached bungalow,2,Ajah,1000000
234,terraced duplex,3,(VI),4000000
235,detached duplex,4,Lekki,3700000
236,house for,3,Gbagada,1500000
237,terraced duplex,4,Ikoyi,13000000
238,terraced duplex,4,Ikoyi,14000000
239,terraced duplex,4,Lekki,3000000
240,terraced duplex,4,Lekki,5000000
241,semi-detached duplex,4,Lekki,3000000
242,semi-detached duplex,4,Lekki,3000000
243,terraced duplex,4,Lekki,2800000
244,semi-detached duplex,3,Ikoyi,10000000
245,semi-detached duplex,4,Lekki,3500000
246,detached duplex,5,Lekki,3500000
247,terraced duplex,3,Lekki,4000000
248,terraced duplex,4,(VI),5000000
249,terraced duplex,4,Ikoyi,10000000
250,terraced duplex,4,Lekki,45000000
251,detached duplex,4,Ajah,4500000
252,house for,4,Lekki,4000000
253,semi-detached duplex,3,North,1300000
254,semi-detached duplex,3,Lekki,4000000
255,terraced duplex,4,Ikoyi,9000000
256,terraced duplex,4,Ikoyi,9000000
257,terraced duplex,4,Lekki,4000000
258,semi-detached duplex,4,Lekki,3500000
259,detached duplex,4,Lekki,3500000
260,semi-detached duplex,4,Lekki,2000000
261,house for,3,(VI),4500000
262,terraced duplex,3,Lekki,2500000
263,terraced duplex,4,Ikeja,3000000
264,semi-detached duplex,4,Ajah,2000000
265,block of,3,Lekki,4500000
266,terraced duplex,4,Ikoyi,12000000
267,detached duplex,4,Lekki,4200000
268,detached duplex,5,Lekki,5000000
269,semi-detached duplex,5,(VI),10000000
270,semi-detached duplex,4,Lekki,2300000
271,semi-detached duplex,4,Lekki,1500000
272,semi-detached duplex,4,Lekki,3500000
273,house for,4,Lekki,4000000
274,terraced duplex,4,Lekki,3000000
275,terraced duplex,3,Lekki,2500000
276,semi-detached duplex,4,Lekki,3500000
277,semi-detached duplex,4,Lekki,4000000
278,semi-detached duplex,5,Lekki,6000000
279,terraced duplex,3,Lekki,4000000
